"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"083005","Barcellona Pozzo di Gotto","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",39878,"e","dato stimato"
"086004","Barrafranca","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",11617,"e","dato stimato"
"083006","Basicò","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",634,"e","dato stimato"
"087008","Biancavilla","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",22929,"e","dato stimato"
"082010","Bisacquino","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",4059,"e","dato stimato"
"084004","Bivona","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",3129,"e","dato stimato"
"082082","Blufi","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",862,"e","dato stimato"
"082011","Bolognetta","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",4115,"e","dato stimato"
"085002","Bompensiere","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",479,"e","dato stimato"
"082012","Bompietro","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1153,"e","dato stimato"
"082013","Borgetto","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",7120,"e","dato stimato"
"083007","Brolo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",5739,"e","dato stimato"
"087009","Bronte","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",18198,"e","dato stimato"
"089003","Buccheri","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1725,"e","dato stimato"
"084005","Burgio","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",2480,"e","dato stimato"
"089004","Buscemi","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",949,"e","dato stimato"
"081002","Buseto Palizzolo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",2758,"e","dato stimato"
"085003","Butera","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",4123,"e","dato stimato"
"082014","Caccamo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",7612,"e","dato stimato"
"084009","Cammarata","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",5837,"e","dato stimato"
"084010","Campobello di Licata","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",9022,"e","dato stimato"
"081004","Campobello di Mazara","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",11340,"e","dato stimato"
"082016","Campofelice di Fitalia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",436,"e","dato stimato"
"082017","Campofelice di Roccella","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",7744,"e","dato stimato"
"082018","Campofiorito","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1131,"e","dato stimato"
"085005","Campofranco","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",2596,"e","dato stimato"
"082019","Camporeale","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",2931,"e","dato stimato"
"087012","Camporotondo Etneo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",5176,"e","dato stimato"
"084011","Canicattì","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",34447,"e","dato stimato"
"089005","Canicattini Bagni","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",6488,"e","dato stimato"
"082020","Capaci","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",11348,"e","dato stimato"
"083008","Capizzi","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",2815,"e","dato stimato"
"083009","Capo d'Orlando","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",13105,"e","dato stimato"
"083010","Capri Leone","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",4362,"e","dato stimato"
"082023","Casteldaccia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",11652,"e","dato stimato"
"082008","Baucina","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1849,"e","dato stimato"
"082009","Belmonte Mezzagno","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",10813,"e","dato stimato"
