CODICE COMUNE ISTAT,DENOMINAZIONE COMUNE,ANNO,VALORE
082049,Monreale,2024,38776
083056,Montagnareale,2024,1378
083057,Montalbano Elicona,2024,2077
084024,Montallegro,2024,2349
085011,Montedoro,2024,1356
088007,Monterosso Almo,2024,2753
084025,Montevago,2024,2661
085013,Niscemi,2024,24810
086013,Nissoria,2024,2828
083061,Nizza di Sicilia,2024,3528
089013,Noto,2024,24572
083062,Novara di Sicilia,2024,1130
083063,Oliveri,2024,2187
083064,Pace del Mela,2024,5956
081013,Paceco,2024,10676
083065,Pagliara,2024,1116
082052,Palazzo Adriano,2024,1763
089015,Palazzolo Acreide,2024,8049
084027,Palma di Montechiaro,2024,21336
081024,Petrosino,2024,7907
083067,Pettineo,2024,1241
082057,Piana degli Albanesi,2024,5451
082046,Marineo,2024,6063
082047,Mezzojuso,2024,2578
083049,Milazzo,2024,29998
085010,Milena,2024,2660
087025,Militello in Val di Catania,2024,6729
083050,Militello Rosmarino,2024,1147
087026,Milo,2024,1022
087027,Mineo,2024,4389
087028,Mirabella Imbaccari,2024,4214
083051,Mirto,2024,872
082048,Misilmeri,2024,28948
087029,Misterbianco,2024,48793
083052,Mistretta,2024,4315
088006,Modica,2024,53442
083053,Moio Alcantara,2024,686
082050,Montelepre,2024,5713
082051,Montemaggiore Belsito,2024,2895
083058,Motta Camastra,2024,796
083059,Motta d'Affermo,2024,655
087030,Motta Sant'Anastasia,2024,12060
085012,Mussomeli,2024,9919
084026,Naro,2024,7034
083060,Naso,2024,3417
087031,Nicolosi,2024,7606
086012,Nicosia,2024,12589
089014,Pachino,2024,21826
087032,Palagonia,2024,15650
081014,Pantelleria,2024,7282
081015,Partanna,2024,9822
082054,Partinico,2024,30746
087033,Paternò,2024,44970
083066,Patti,2024,12699
087034,Pedara,2024,15166
082055,Petralia Soprana,2024,2908
082056,Petralia Sottana,2024,2415
086014,Piazza Armerina,2024,20709
087035,Piedimonte Etneo,2024,3900
086015,Pietraperzia,2024,6304
083068,Piraino,2024,3797
081016,Poggioreale,2024,1291
082058,Polizzi Generosa,2024,2851
084028,Porto Empedocle,2024,15584
089020,Portopalo di Capo Passero,2024,3826
088008,Pozzallo,2024,18900
089021,Priolo Gargallo,2024,11198
082060,Prizzi,2024,4083
084029,Racalmuto,2024,7531
083069,Raccuja,2024,834
087036,Raddusa,2024,2787
084030,Raffadali,2024,11855
087058,Ragalna,2024,4216
087037,Ramacca,2024,10187
087038,Randazzo,2024,10156
084031,Ravanusa,2024,10259
084032,Realmonte,2024,4378
086016,Regalbuto,2024,6629
083070,Reitano,2024,705
085014,Resuttano,2024,1717
085015,Riesi,2024,10401
087039,Riposto,2024,13991
082062,Roccapalumba,2024,2131
083076,Rometta,2024,6596
082059,Pollina,2024,2822
084033,Ribera,2024,17761
083071,Roccafiorita,2024,178
083072,Roccalumera,2024,4064
082061,Roccamena,2024,1314
083073,Roccavaldina,2024,1003
083074,Roccella Valdemone,2024,560
083075,Rodì Milici,2024,1959
089016,Rosolini,2024,20580
081017,Salaparuta,2024,1547
081018,Salemi,2024,9974
084034,Sambuca di Sicilia,2024,5321
084035,San Biagio Platani,2024,2829
085016,San Cataldo,2024,20659
082063,San Cipirello,2024,4884
087040,San Cono,2024,2451
083077,San Filippo del Mela,2024,6691
083078,San Fratello,2024,3198
084036,San Giovanni Gemini,2024,7469
087041,San Giovanni la Punta,2024,23995
082064,San Giuseppe Jato,2024,8019
087042,San Gregorio di Catania,2024,11501
083079,San Marco d'Alunzio,2024,1817
082065,San Mauro Castelverde,2024,1316
087043,San Michele di Ganzaria,2024,2844
083080,San Pier Niceto,2024,2583
083081,San Piero Patti,2024,2593
087044,San Pietro Clarenza,2024,8339
083082,San Salvatore di Fitalia,2024,1119
083090,San Teodoro,2024,1251
081020,San Vito Lo Capo,2024,4801
085017,Santa Caterina Villarmosa,2024,4578
082066,Santa Cristina Gela,2024,993
088010,Santa Croce Camerina,2024,11155
083083,Santa Domenica Vittoria,2024,853
084037,Santa Elisabetta,2024,2184
082067,Santa Flavia,2024,11035
083086,Santa Lucia del Mela,2024,4374
084038,Santa Margherita di Belice,2024,5958
087047,Santa Maria di Licodia,2024,7530
083087,Santa Marina Salina,2024,858
081019,Santa Ninfa,2024,4728
084040,Santo Stefano Quisquina,2024,3998
083092,Saponara,2024,3670
083093,Savoca,2024,1715
083094,Scaletta Zanclea,2024,1845
084041,Sciacca,2024,38712
082068,Sciara,2024,2485
088011,Scicli,2024,26786
082081,Scillato,2024,587
082069,Sclafani Bagni,2024,369
087049,Scordia,2024,16023
083095,Sinagra,2024,2462
089018,Solarino,2024,7536
085020,Sutera,2024,1162
083097,Taormina,2024,10499
087050,Trecastagni,2024,11324
087051,Tremestieri Etneo,2024,19371
082076,Valledolmo,2024,3115
085021,Vallelunga Pratameno,2024,3057
083089,Santa Teresa di Riva,2024,9266
087048,Santa Venerina,2024,8426
083084,Sant'Agata di Militello,2024,11933
087045,Sant'Agata li Battiati,2024,9271
083085,Sant'Alessio Siculo,2024,1550
087046,Sant'Alfio,2024,1514
083088,Sant'Angelo di Brolo,2024,2722
084039,Sant'Angelo Muxaro,2024,1168
083091,Santo Stefano di Camastra,2024,4351
085018,Serradifalco,2024,5454
084042,Siculiana,2024,4159
085019,Sommatino,2024,6339
089019,Sortino,2024,8147
083096,Spadafora,2024,4648
086017,Sperlinga,2024,675
083106,Terme Vigliatore,2024,7244
082070,Termini Imerese,2024,24836
082071,Terrasini,2024,12961
083098,Torregrotta,2024,7297
083108,Torrenova,2024,4512
082072,Torretta,2024,4367
083099,Tortorici,2024,5629
082073,Trabia,2024,10616
082074,Trappeto,2024,3091
083100,Tripi,2024,748
086018,Troina,2024,8423
083101,Tusa,2024,2543
083102,Ucria,2024,876
082075,Ustica,2024,1310
081022,Valderice,2024,11389
083103,Valdina,2024,1258
087052,Valverde,2024,7839
083104,Venetico,2024,3969
082077,Ventimiglia di Sicilia,2024,1775
087053,Viagrande,2024,8935
082078,Vicari,2024,2390
082079,Villabate,2024,19550
084043,Villafranca Sicula,2024,1320
083105,Villafranca Tirrena,2024,7918
082080,Villafrati,2024,3104
085022,Villalba,2024,1390
086020,Villarosa,2024,4328
081023,Vita,2024,1761
087055,Zafferana Etnea,2024,9397
086019,Valguarnera Caropepe,2024,6837
088012,Vittoria,2024,64678
087054,Vizzini,2024,5649
082032,Collesano,2024,3616
081025,Misiliscemi,2024,8417
